"Source:","/Users/adrian/git/ESP32-PN532/KiCad/PN532.kicad_sch"
"Date:","Monday, 03 January 2022 at 16:38:50"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Note","Part No"
"","","C1","160pF 1%",":Cx2_1","RevK:Cx2_0603","https://www.mouser.co.uk/ProductDetail/80-C0603X161F1HACTU","KEMET","May be two 0603 parts","C0603X161F1HACTU"
"","","C2","160pF 1%",":Cx2_1","RevK:Cx2_0603","https://www.mouser.co.uk/ProductDetail/80-C0603X161F1HACTU","KEMET","May be two 0603 parts","C0603X161F1HACTU"
"","","C3","22pF 1%","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/791-0603N220F500CT","Walsin","0603","0603N220F500CT"
"","","C4","22pF 1%","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/791-0603N220F500CT","Walsin","0603","0603N220F500CT"
"","","C5","220pF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/77-VJ0603A221GXAPBC","Vishay / Vitramon","0603","VJ0603A221GXAPW1BC"
"","","C6","220pF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/77-VJ0603A221GXAPBC","Vishay / Vitramon","0603","VJ0603A221GXAPW1BC"
"","","C7","0.1uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/80-C0603C104M4R","KEMET","0603","C0603C104M4RACTU"
"","","C8","1nF 2%","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/77-VJ0603A102GXAPBC","Vishay / Vitramon","0603","VJ0603A102GXAPW1BC"
"","","C9","0.1uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/80-C0603C104M4R","KEMET","0603","C0603C104M4RACTU"
"","","C10","4.7uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/187-CL10A475KP8NNNC","Samsung Electro-Mechanics","0603","CL10A475KP8NNNC"
"","","C11","0.1uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/80-C0603C104M4R","KEMET","0603","C0603C104M4RACTU"
"","","C12","0.1uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/80-C0603C104M4R","KEMET","0603","C0603C104M4RACTU"
"","","C13","4.7uF","Device:C","RevK:C_0603","https://www.mouser.co.uk/ProductDetail/187-CL10A475KP8NNNC","Samsung Electro-Mechanics","0603","CL10A475KP8NNNC"
