### Module positions - created on 2022-06-23 06:49
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 46.100mm, Pcb Width 46.100mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
C16           22pF                C_0603                        93.8750    -94.0600   93.1000    -94.0600      0.0    top       SMD
C17           22pF                C_0603                        93.8750    -99.0600   94.6500    -99.0600    180.0    top       SMD
D2            A                   STP_156120xx7530              112.5000   -100.0000  112.5000   -101.6250    90.0    top       SMD
D3            R                   STP_156120xx7530              112.5000   -95.0000   112.5000   -96.6250     90.0    top       SMD
D1            G                   STP_156120xx7530              112.5000   -105.0000  112.5000   -106.6250    90.0    top       SMD
C7            0.1uF               C_0603                        101.3750   -91.7600   100.6000   -91.7600      0.0    top       SMD
C3            22pF 1%             C_0603                        103.8000   -84.0850   103.8000   -84.8600     90.0    top       SMD
C5            220pF               C_0603                        101.7000   -84.8350   100.9250   -84.8350      0.0    top       SMD
R6            10K                 R_0603                        109.0000   -92.3600   108.1750   -92.3600      0.0    top       SMD
R4            2K7 1%              R_0603                        93.9000    -84.8350   93.0750    -84.8350      0.0    top       SMD
C13           4.7uF               C_0603                        106.1500   -96.1600   106.1500   -95.3850    -90.0    top       SMD
C14           0.1uF               C_0603                        105.4000   -93.8600   104.6250   -93.8600      0.0    top       SMD
C9            0.1uF               C_0603                        93.8750    -91.3100   93.1000    -91.3100      0.0    top       SMD
R9            100R                R_0603                        109.0000   -96.8600   108.1750   -96.8600      0.0    top       SMD
R8            100R                R_0603                        109.0000   -98.3600   108.1750   -98.3600      0.0    top       SMD
R11           10K                 R_0603                        99.3000    -101.7100  99.3000    -102.5350    90.0    top       SMD
U1            PN532               QFN-40-1EP_6x6mm_P0.5mm_EP4.. 100.0000   -96.5600   102.2500   -93.6600    -90.0    top       SMD
C12           0.1uF               C_0603                        98.6250    -90.4100   99.4000    -90.4100    180.0    top       SMD
R5            1K 1%               R_0603                        93.1000    -89.4100   93.1000    -88.5850    -90.0    top       SMD
R7            20K                 R_0603                        109.0000   -93.8600   108.1750   -93.8600      0.0    top       SMD
R10           100R                R_0603                        109.0000   -95.3600   108.1750   -95.3600      0.0    top       SMD
C18           0.1uF               C_0603                        97.7000    -101.7100  97.7000    -102.4850    90.0    top       SMD
C11           0.1uF               C_0603                        104.6500   -96.1600   104.6500   -95.3850    -90.0    top       SMD
C8            1nF 2%              C_0603                        93.1000    -86.7600   93.1000    -87.5350     90.0    top       SMD
C10           4.7uF               C_0603                        101.3750   -90.4100   100.6000   -90.4100      0.0    top       SMD
C1            160pF 1%            Cx2_0603                      101.7000   -82.4600   102.4750   -82.4600    180.0    top       SMD
C6            220pF               C_0603                        98.3000    -84.8350   99.0750    -84.8350    180.0    top       SMD
R15           10K                 R_0603                        105.6000   -101.7100  105.6000   -102.5350    90.0    top       SMD
R13           100R                R_0603                        101.6500   -102.4600  100.8250   -102.4600     0.0    top       SMD
C15           4.7uF               C_0603                        93.8750    -92.6600   93.1000    -92.6600      0.0    top       SMD
R14           100R                R_0603                        101.6500   -100.9600  102.4750   -100.9600   180.0    top       SMD
L1            560nH               L_1206_1008                   103.2500   -87.5600   102.5429   -88.2671     45.0    top       SMD
L2            560nH               L_1206_1008                   96.7500    -87.5600   96.0429    -86.8529    -45.0    top       SMD
C4            22pF 1%             C_0603                        96.2000    -84.0850   96.2000    -83.3100    -90.0    top       SMD
R12           100R                R_0603                        104.0000   -101.7100  104.0000   -100.8850   -90.0    top       SMD
D5            BAV99S              SOT-363_SC-70-6               109.0000   -90.4600   108.0500   -89.8100      0.0    top       SMD
C19           33pF                C_0603                        109.0000   -104.7600  108.2250   -104.7600     0.0    top       SMD
D4            BAV99S              SOT-363_SC-70-6               109.0000   -100.2600  108.0500   -99.6100      0.0    top       SMD
D6            BAV99S              SOT-363_SC-70-6               109.0000   -102.8600  109.9500   -103.5100   180.0    top       SMD
C2            160pF 1%            Cx2_0603                      98.3000    -82.4600   99.0750    -82.4600    180.0    top       SMD
R2            0R                  Hidden                        100.0000   -78.5600   0.0000     0.0000       90.0    top       SMD
R3            0R                  Hidden                        101.7800   -80.5000   0.0000     0.0000       90.0    top       SMD
R1            0R                  Hidden                        98.2000    -80.4900   0.0000     0.0000       90.0    top       SMD
## End
