### Module positions - created on 2022-02-18 13:44
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 40.050mm, Pcb Width 40.050mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D2            A                   STP_156120xx7530              112.0000   -94.0000   112.0000   -95.6500     90.0    top       SMD
D3            R                   STP_156120xx7530              112.0000   -88.0000   112.0000   -89.6500     90.0    top       SMD
D1            G                   STP_156120xx7530              112.0000   -100.0000  112.0000   -101.6500    90.0    top       SMD
C7            0.1uF               C_0603                        101.3750   -95.2000   100.6000   -95.2000      0.0    top       SMD
C3            22pF 1%             C_0603                        103.8000   -87.5250   103.8000   -88.3000     90.0    top       SMD
C5            220pF               C_0603                        101.7000   -88.2750   100.9250   -88.2750      0.0    top       SMD
R6            10K                 R_0603                        109.0000   -95.8000   108.1750   -95.8000      0.0    top       SMD
R4            2K7 1%              R_0603                        93.9000    -88.2750   93.0750    -88.2750      0.0    top       SMD
C13           4.7uF               C_0603                        106.1500   -99.6000   106.1500   -98.8250    -90.0    top       SMD
C14           0.1uF               C_0603                        105.4000   -97.3000   104.6250   -97.3000      0.0    top       SMD
C9            0.1uF               C_0603                        93.8750    -94.7500   93.1000    -94.7500      0.0    top       SMD
C16           22pF                C_0603                        93.8750    -97.5000   93.1000    -97.5000      0.0    top       SMD
R9            100R                R_0603                        109.0000   -100.3000  108.1750   -100.3000     0.0    top       SMD
R8            100R                R_0603                        109.0000   -101.8000  108.1750   -101.8000     0.0    top       SMD
R11           10K                 R_0603                        99.3000    -105.1500  99.3000    -105.9750    90.0    top       SMD
U1            PN532               QFN-40-1EP_6x6mm_P0.5mm_EP4.. 100.0000   -100.0000  102.2500   -97.1000    -90.0    top       SMD
C17           22pF                C_0603                        93.8750    -102.5000  94.6500    -102.5000   180.0    top       SMD
C12           0.1uF               C_0603                        98.6250    -93.8500   99.4000    -93.8500    180.0    top       SMD
R5            1K 1%               R_0603                        93.1000    -92.8500   93.1000    -92.0250    -90.0    top       SMD
R7            20K                 R_0603                        109.0000   -97.3000   108.1750   -97.3000      0.0    top       SMD
R10           100R                R_0603                        109.0000   -98.8000   108.1750   -98.8000      0.0    top       SMD
C18           0.1uF               C_0603                        97.7000    -105.1500  97.7000    -105.9250    90.0    top       SMD
C11           0.1uF               C_0603                        104.6500   -99.6000   104.6500   -98.8250    -90.0    top       SMD
C8            1nF 2%              C_0603                        93.1000    -90.2000   93.1000    -90.9750     90.0    top       SMD
C10           4.7uF               C_0603                        101.3750   -93.8500   100.6000   -93.8500      0.0    top       SMD
C1            160pF 1%            Cx2_0603                      101.7000   -85.9000   102.4750   -85.9000    180.0    top       SMD
C6            220pF               C_0603                        98.3000    -88.2750   99.0750    -88.2750    180.0    top       SMD
R15           10K                 R_0603                        105.6000   -105.1500  105.6000   -105.9750    90.0    top       SMD
R13           100R                R_0603                        101.6500   -105.9000  100.8250   -105.9000     0.0    top       SMD
C15           4.7uF               C_0603                        93.8750    -96.1000   93.1000    -96.1000      0.0    top       SMD
R14           100R                R_0603                        101.6500   -104.4000  102.4750   -104.4000   180.0    top       SMD
L1            560nH               L_1206_1008                   103.2500   -91.0000   102.5429   -91.7071     45.0    top       SMD
L2            560nH               L_1206_1008                   96.7500    -91.0000   96.0429    -90.2929    -45.0    top       SMD
C4            22pF 1%             C_0603                        96.2000    -87.5250   96.2000    -86.7500    -90.0    top       SMD
R12           100R                R_0603                        104.0000   -105.1500  104.0000   -104.3250   -90.0    top       SMD
D5            BAV99S              SOT-363_SC-70-6               109.0000   -93.9000   108.0500   -93.2500      0.0    top       SMD
C19           33pF                C_0603                        109.0000   -108.2000  108.2250   -108.2000     0.0    top       SMD
D4            BAV99S              SOT-363_SC-70-6               109.0000   -103.7000  108.0500   -103.0500     0.0    top       SMD
D6            BAV99S              SOT-363_SC-70-6               109.0000   -106.3000  109.9500   -106.9500   180.0    top       SMD
C2            160pF 1%            Cx2_0603                      98.3000    -85.9000   99.0750    -85.9000    180.0    top       SMD
R2            0R                  Hidden                        100.0000   -82.0000   0.0000     0.0000       90.0    top       SMD
R3            0R                  Hidden                        102.0000   -84.0000   0.0000     0.0000       90.0    top       SMD
R1            0R                  Hidden                        98.0000    -84.0000   0.0000     0.0000       90.0    top       SMD
## End
