Designator,Mid X,Mid Y,Rotation,Layer
C1,36.7,52.13,180,top
C10,36.38,44.59,0,top
C11,39.65,38.84,270,top
C12,33.62,44.59,180,top
C13,41.15,38.84,270,top
C14,40.4,41.14,0,top
C15,28.88,42.34,0,top
C16,28.88,40.94,0,top
C17,28.88,35.94,180,top
C18,32.7,33.29,90,top
C19,38.9,33.3,90,top
C2,33.3,52.13,180,top
C3,38.8,51.35,90,top
C4,31.2,51.35,270,top
C5,36.7,50.6,0,top
C6,33.3,50.6,180,top
C7,36.38,43.24,0,top
C8,28.1,48.24,90,top
C9,28.88,43.69,0,top
D1,47.5,30.0,90,top
D10,32.17,30.8,0,top
D2,47.5,35.0,90,top
D3,47.5,40.0,90,top
D4,47.5,32.5,90,top
D5,47.5,37.5,90,top
D6,42.1,30.8,180,top
D7,47.5,42.5,90,top
D8,36.0,30.8,180,top
D9,37.7,30.8,180,top
J3,36.27,28.5,180,top
L1,38.25,47.44,45,top
L2,31.75,47.44,315,top
PCB1,35.0,35.0,0,top
R1,33.23,54.51,90,top
R10,44.0,39.64,0,top
R11,34.3,33.29,90,top
R12,40.4,33.3,270,top
R13,36.65,32.54,0,top
R14,36.65,34.04,180,top
R15,41.8,33.33,270,top
R2,35.0,56.41,90,top
R3,36.77,54.51,90,top
R4,28.9,50.6,0,top
R5,28.1,45.59,270,top
R6,44.0,42.64,0,top
R7,44.0,41.14,0,top
R8,44.0,36.64,0,top
R9,44.0,38.14,0,top
SW1,24.8,35.0,180,top
U1,35.0,38.44,180,top
V1,35.0,57.92,0,top
V2,35.0,12.08,180,top
V3,12.08,35.0,270,bottom
V4,57.92,35.0,90,bottom
Y1,28.88,38.44,270,top
