Designator,Mid X,Mid Y,Rotation,Layer
AJK1,89.7,-92.2,0.0,top
C1,101.7,-86.7,180.0,top
C10,101.375,-93.85,0.0,top
C11,104.65,-99.6,270.0,top
C12,98.625,-93.85,180.0,top
C13,106.15,-99.6,270.0,top
C14,105.4,-97.3,0.0,top
C15,93.875,-96.1,0.0,top
C16,93.875,-97.5,0.0,top
C17,93.875,-102.5,180.0,top
C18,97.7,-105.15,90.0,top
C19,109.0,-108.2,0.0,top
C2,98.3,-86.7,180.0,top
C3,103.8,-87.525,90.0,top
C4,96.2,-87.525,270.0,top
C5,101.7,-88.275,0.0,top
C6,98.3,-88.275,180.0,top
C7,101.375,-95.2,0.0,top
C8,93.1,-90.2,90.0,top
C9,93.875,-94.75,0.0,top
D1,112.0,-100.0,90.0,top
D2,112.0,-94.0,90.0,top
D3,112.0,-88.0,90.0,top
D4,109.0,-103.7,0.0,top
D5,109.0,-93.9,0.0,top
D6,109.0,-106.3,180.0,top
J1,112.0,-107.27,180.0,top
J2,100.0,-108.9,0.0,top
L1,103.25,-91.0,45.0,top
L2,96.75,-91.0,315.0,top
R1,98.0,-84.0,90.0,top
R10,109.0,-98.8,0.0,top
R11,99.3,-105.15,90.0,top
R12,104.0,-105.15,270.0,top
R13,101.65,-105.9,0.0,top
R14,101.65,-104.4,180.0,top
R15,105.6,-105.15,90.0,top
R2,100.0,-82.0,90.0,top
R3,102.0,-84.0,90.0,top
R4,93.9,-88.275,0.0,top
R5,93.1,-92.85,270.0,top
R6,109.0,-95.8,0.0,top
R7,109.0,-97.3,0.0,top
R8,109.0,-101.8,0.0,top
R9,109.0,-100.3,0.0,top
SW1,89.4,-103.6,90.0,top
TP1,100.0,-92.4,180.0,top
U1,100.0,-100.0,270.0,top
U3,89.4,-110.6,180.0,bottom
Y1,93.875,-100.0,90.0,top
